movie_title,title_year,director_name,genres,duration,budget,gross,language,country,content_rating,color,movie_imdb_link,num_user_for_reviews,imdb_score
Psycho ,1960,Alfred Hitchcock,Horror|Mystery|Thriller,108,806947,32000000,English,USA,R, Black and White,http://www.imdb.com/title/tt0054215/?ref_=fn_tt_tt_1,1040,8.5
West Side Story ,1961,Jerome Robbins,Crime|Drama|Musical|Romance|Thriller,152,6000000,43650000,English,USA,Unrated,Color,http://www.imdb.com/title/tt0055614/?ref_=fn_tt_tt_1,316,7.6
Lawrence of Arabia ,1962,David Lean,Adventure|Biography|Drama|History|War,227,15000000,6000000,English,UK,PG,Color,http://www.imdb.com/title/tt0056172/?ref_=fn_tt_tt_1,559,8.4
Dr. No ,1962,Terence Young,Action|Adventure|Thriller,110,1100000,16067035,English,UK,Approved,Color,http://www.imdb.com/title/tt0055928/?ref_=fn_tt_tt_1,389,7.3
Cleopatra ,1963,Joseph L. Mankiewicz,Biography|Drama|History|Romance,251,31115000,57750000,English,UK,Approved,Color,http://www.imdb.com/title/tt0056937/?ref_=fn_tt_tt_1,192,7
"It's a Mad, Mad, Mad, Mad World ",1963,Stanley Kramer,Action|Adventure|Comedy|Crime,197,9400000,46300000,English,USA,Approved,Color,http://www.imdb.com/title/tt0057193/?ref_=fn_tt_tt_1,344,7.6
From Russia with Love ,1963,Terence Young,Action|Adventure|Thriller,115,2000000,24800000,English,UK,Approved,Color,http://www.imdb.com/title/tt0057076/?ref_=fn_tt_tt_1,358,7.5
My Fair Lady ,1964,George Cukor,Drama|Family|Musical|Romance,170,17000000,72000000,English,USA,Approved,Color,http://www.imdb.com/title/tt0058385/?ref_=fn_tt_tt_1,258,7.9
Mary Poppins ,1964,Robert Stevenson,Comedy|Family|Fantasy|Musical,139,6000000,102300000,English,USA,Approved,Color,http://www.imdb.com/title/tt0058331/?ref_=fn_tt_tt_1,259,7.8
Goldfinger ,1964,Guy Hamilton,Action|Adventure|Thriller,110,3000000,51100000,English,UK,Approved,Color,http://www.imdb.com/title/tt0058150/?ref_=fn_tt_tt_1,418,7.8
A Hard Day's Night ,1964,Richard Lester,Comedy|Musical,87,560000,515005,English,UK,Approved, Black and White,http://www.imdb.com/title/tt0058182/?ref_=fn_tt_tt_1,219,7.7
Nothing But a Man ,1964,Michael Roemer,Drama|Romance,95,160000,12438,English,USA,Not Rated, Black and White,http://www.imdb.com/title/tt0058414/?ref_=fn_tt_tt_1,26,8.1
A Fistful of Dollars ,1964,Sergio Leone,Action|Drama|Western,99,200000,3500000,Italian,Italy,R,Color,http://www.imdb.com/title/tt0058461/?ref_=fn_tt_tt_1,235,8
The Greatest Story Ever Told ,1965,George Stevens,Biography|Drama|History,225,20000000,8000000,English,USA,G,Color,http://www.imdb.com/title/tt0059245/?ref_=fn_tt_tt_1,100,6.6
Doctor Zhivago ,1965,David Lean,Drama|Romance|War,200,11000000,111722000,English,USA,PG-13,Color,http://www.imdb.com/title/tt0059113/?ref_=fn_tt_tt_1,255,8
Thunderball ,1965,Terence Young,Action|Adventure|Thriller,130,9000000,63600000,English,UK,Approved,Color,http://www.imdb.com/title/tt0059800/?ref_=fn_tt_tt_1,275,7
The Sound of Music ,1965,Robert Wise,Biography|Drama|Family|Musical|Romance,174,8200000,163214286,English,USA,G,Color,http://www.imdb.com/title/tt0059742/?ref_=fn_tt_tt_1,406,8
Major Dundee ,1965,Sam Peckinpah,Adventure|War|Western,152,3800000,14873,English,USA,Approved,Color,http://www.imdb.com/title/tt0059418/?ref_=fn_tt_tt_1,67,6.8
"The Good, the Bad and the Ugly ",1966,Sergio Leone,Western,142,1200000,6100000,Italian,Italy,Approved,Color,http://www.imdb.com/title/tt0060196/?ref_=fn_tt_tt_1,780,8.9
You Only Live Twice ,1967,Lewis Gilbert,Action|Adventure|Thriller,117,9500000,43100000,English,UK,Approved,Color,http://www.imdb.com/title/tt0062512/?ref_=fn_tt_tt_1,267,6.9
2001: A Space Odyssey ,1968,Stanley Kubrick,Adventure|Mystery|Sci-Fi,161,12000000,56715371,English,UK,G,Color,http://www.imdb.com/title/tt0062622/?ref_=fn_tt_tt_1,1736,8.3
Oliver! ,1968,Carol Reed,Drama|Family|Musical,153,10000000,16800000,English,UK,G,Color,http://www.imdb.com/title/tt0063385/?ref_=fn_tt_tt_1,138,7.5
On Her Majesty's Secret Service ,1969,Peter R. Hunt,Action|Adventure|Thriller,142,7000000,22800000,English,UK,M,Color,http://www.imdb.com/title/tt0064757/?ref_=fn_tt_tt_1,452,6.8
Butch Cassidy and the Sundance Kid ,1969,George Roy Hill,Biography|Crime|Drama|Western,110,6000000,102308900,English,USA,M,Color,http://www.imdb.com/title/tt0064115/?ref_=fn_tt_tt_1,309,8.1
Mississippi Mermaid ,1969,François Truffaut,Crime|Drama|Romance,123,1600000,26893,French,France,R,Color,http://www.imdb.com/title/tt0064990/?ref_=fn_tt_tt_1,26,7.2
Tora! Tora! Tora! ,1970,Richard Fleischer,Action|Drama|History|War,160,25000000,14500000,English,Japan,G,Color,http://www.imdb.com/title/tt0066473/?ref_=fn_tt_tt_1,159,7.5
Darling Lili ,1970,Blake Edwards,Comedy|Drama|Musical|Romance|War,143,25000000,5000000,English,USA,G,Color,http://www.imdb.com/title/tt0065611/?ref_=fn_tt_tt_1,50,6.2
Beyond the Valley of the Dolls ,1970,Russ Meyer,Comedy|Drama|Music,109,900000,9000000,English,USA,X,Color,http://www.imdb.com/title/tt0065466/?ref_=fn_tt_tt_1,137,6.2
Woodstock ,1970,Michael Wadleigh,Documentary|History|Music,215,600000,13300000,English,USA,R,Color,http://www.imdb.com/title/tt0066580/?ref_=fn_tt_tt_1,63,8.1
Fiddler on the Roof ,1971,Norman Jewison,Drama|Family|Musical|Romance,181,9000000,50000000,English,USA,G,Color,http://www.imdb.com/title/tt0067093/?ref_=fn_tt_tt_1,150,8
Diamonds Are Forever ,1971,Guy Hamilton,Action|Adventure|Thriller,120,7200000,43800000,English,UK,GP,Color,http://www.imdb.com/title/tt0066995/?ref_=fn_tt_tt_1,276,6.7
Sweet Sweetback's Baadasssss Song ,1971,Melvin Van Peebles,Crime|Drama|Thriller,97,500000,15180000,English,USA,R,Color,http://www.imdb.com/title/tt0067810/?ref_=fn_tt_tt_1,50,5.5
Pink Narcissus ,1971,James Bidgood,Drama|Fantasy,65,27000,8231,English,USA,Not Rated,Color,http://www.imdb.com/title/tt0067580/?ref_=fn_tt_tt_1,16,6.7
The Godfather ,1972,Francis Ford Coppola,Crime|Drama,175,6000000,134821952,English,USA,R,Color,http://www.imdb.com/title/tt0068646/?ref_=fn_tt_tt_1,2238,9.2
Pink Flamingos ,1972,John Waters,Comedy|Crime|Horror,108,10000,180483,English,USA,NC-17,Color,http://www.imdb.com/title/tt0069089/?ref_=fn_tt_tt_1,183,6.1
Mean Streets ,1973,Martin Scorsese,Crime|Drama|Romance|Thriller,112,500000,32645,English,USA,R,Color,http://www.imdb.com/title/tt0070379/?ref_=fn_tt_tt_1,223,7.4
The Exorcist ,1973,William Friedkin,Horror,132,8000000,204565000,English,USA,R,Color,http://www.imdb.com/title/tt0070047/?ref_=fn_tt_tt_1,1058,8
Live and Let Die ,1973,Guy Hamilton,Action|Adventure|Thriller,121,7000000,35400000,English,UK,PG,Color,http://www.imdb.com/title/tt0070328/?ref_=fn_tt_tt_1,251,6.8
The Sting ,1973,George Roy Hill,Comedy|Crime|Drama,129,5500000,159600000,English,USA,PG,Color,http://www.imdb.com/title/tt0070735/?ref_=fn_tt_tt_1,252,8.3
American Graffiti ,1973,George Lucas,Comedy|Drama|Music,112,777000,115000000,English,USA,PG,Color,http://www.imdb.com/title/tt0069704/?ref_=fn_tt_tt_1,238,7.5
The Godfather: Part II ,1974,Francis Ford Coppola,Crime|Drama,220,13000000,57300000,English,USA,R,Color,http://www.imdb.com/title/tt0071562/?ref_=fn_tt_tt_1,650,9
The Texas Chain Saw Massacre ,1974,Tobe Hooper,Horror|Thriller,88,83532,30859000,English,USA,R,Color,http://www.imdb.com/title/tt0072271/?ref_=fn_tt_tt_1,826,7.5
The Man with the Golden Gun ,1974,Guy Hamilton,Action|Adventure|Thriller,125,13000000,21000000,English,UK,PG,Color,http://www.imdb.com/title/tt0071807/?ref_=fn_tt_tt_1,258,6.8
Young Frankenstein ,1974,Mel Brooks,Comedy,106,2800000,86300000,English,USA,PG, Black and White,http://www.imdb.com/title/tt0072431/?ref_=fn_tt_tt_1,315,8
Blazing Saddles ,1974,Mel Brooks,Comedy|Western,93,2600000,119500000,English,USA,R,Color,http://www.imdb.com/title/tt0071230/?ref_=fn_tt_tt_1,363,7.8
Benji ,1974,Joe Camp,Adventure|Family|Romance,86,500000,39552600,English,USA,G,Color,http://www.imdb.com/title/tt0071206/?ref_=fn_tt_tt_1,36,6.1
Jaws ,1975,Steven Spielberg,Adventure|Drama|Thriller,130,8000000,260000000,English,USA,PG,Color,http://www.imdb.com/title/tt0073195/?ref_=fn_tt_tt_1,962,8
One Flew Over the Cuckoo's Nest ,1975,Milos Forman,Drama,133,4400000,112000000,English,USA,R,Color,http://www.imdb.com/title/tt0073486/?ref_=fn_tt_tt_1,760,8.7
Monty Python and the Holy Grail ,1975,Terry Gilliam,Adventure|Comedy|Fantasy,91,229575,1229197,English,UK,PG,Color,http://www.imdb.com/title/tt0071853/?ref_=fn_tt_tt_1,660,8.3
Logan's Run ,1976,Michael Anderson,Action|Adventure|Sci-Fi,119,9000000,25000000,English,USA,PG,Color,http://www.imdb.com/title/tt0074812/?ref_=fn_tt_tt_1,242,6.8
Rocky ,1976,John G. Avildsen,Drama|Sport,145,960000,117235247,English,USA,PG,Color,http://www.imdb.com/title/tt0075148/?ref_=fn_tt_tt_1,542,8.1
A Bridge Too Far ,1977,Richard Attenborough,Drama|History|War,175,26000000,50800000,English,USA,PG, Black and White,http://www.imdb.com/title/tt0075784/?ref_=fn_tt_tt_1,210,7.4
Close Encounters of the Third Kind ,1977,Steven Spielberg,Drama|Sci-Fi,135,19400870,128300000,English,USA,PG,Color,http://www.imdb.com/title/tt0075860/?ref_=fn_tt_tt_1,339,7.7
The Spy Who Loved Me ,1977,Lewis Gilbert,Action|Adventure|Sci-Fi|Thriller,123,14000000,46800000,English,UK,PG,Color,http://www.imdb.com/title/tt0076752/?ref_=fn_tt_tt_1,275,7.1
Star Wars: Episode IV - A New Hope ,1977,George Lucas,Action|Adventure|Fantasy|Sci-Fi,125,11000000,460935665,English,USA,PG,Color,http://www.imdb.com/title/tt0076759/?ref_=fn_tt_tt_1,1470,8.7
March or Die ,1977,Dick Richards,Adventure|Drama|Romance|War,107,9000000,1000000,English,UK,PG,Color,http://www.imdb.com/title/tt0076175/?ref_=fn_tt_tt_1,26,6.3
Annie Hall ,1977,Woody Allen,Comedy|Romance,93,4000000,39200000,English,USA,PG,Color,http://www.imdb.com/title/tt0075686/?ref_=fn_tt_tt_1,491,8.1
Kingdom of the Spiders ,1977,John 'Bud' Cardos,Horror|Sci-Fi,97,500000,17000000,English,USA,PG,Color,http://www.imdb.com/title/tt0076271/?ref_=fn_tt_tt_1,84,5.9
Superman ,1978,Richard Donner,Action|Adventure|Drama|Romance|Sci-Fi,188,55000000,134218018,English,USA,PG,Color,http://www.imdb.com/title/tt0078346/?ref_=fn_tt_tt_1,497,7.3
The Wiz ,1978,Sidney Lumet,Adventure|Family|Fantasy|Music|Musical,118,24000000,13000000,English,USA,G,Color,http://www.imdb.com/title/tt0078504/?ref_=fn_tt_tt_1,150,5.2
Jaws 2 ,1978,Jeannot Szwarc,Adventure|Horror|Thriller,131,20000000,102922376,English,USA,PG,Color,http://www.imdb.com/title/tt0077766/?ref_=fn_tt_tt_1,265,5.7
Halloween ,1978,John Carpenter,Horror|Thriller,101,300000,47000000,English,USA,R,Color,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,1191,7.9
Caravans ,1978,James Fargo,Action|Adventure|History,127,14000000,1000000,English,Iran,PG,Color,http://www.imdb.com/title/tt0077296/?ref_=fn_tt_tt_1,8,6.5
Grease ,1978,Randal Kleiser,Musical|Romance,110,6000000,181360000,English,USA,PG-13,Color,http://www.imdb.com/title/tt0077631/?ref_=fn_tt_tt_1,350,7.2
Animal House ,1978,John Landis,Comedy,109,3000000,141600000,English,USA,R,Color,http://www.imdb.com/title/tt0077975/?ref_=fn_tt_tt_1,257,7.6
Star Trek: The Motion Picture ,1979,Robert Wise,Adventure|Mystery|Sci-Fi,143,35000000,82300000,English,USA,PG,Color,http://www.imdb.com/title/tt0079945/?ref_=fn_tt_tt_1,405,6.4
Apocalypse Now ,1979,Francis Ford Coppola,Drama|War,289,31500000,78800000,English,USA,R,Color,http://www.imdb.com/title/tt0078788/?ref_=fn_tt_tt_1,983,8.5
Moonraker ,1979,Lewis Gilbert,Action|Adventure|Sci-Fi|Thriller,126,34000000,62700000,English,UK,PG,Color,http://www.imdb.com/title/tt0079574/?ref_=fn_tt_tt_1,294,6.3
Alien ,1979,Ridley Scott,Horror|Sci-Fi,116,11000000,78900000,English,UK,R,Color,http://www.imdb.com/title/tt0078748/?ref_=fn_tt_tt_1,1110,8.5
The Rose ,1979,Mark Rydell,Drama|Music|Romance,125,8500000,29200000,English,USA,R,Color,http://www.imdb.com/title/tt0079826/?ref_=fn_tt_tt_1,52,6.9
Escape from Alcatraz ,1979,Don Siegel,Biography|Crime|Drama,112,8000000,36500000,English,USA,PG,Color,http://www.imdb.com/title/tt0079116/?ref_=fn_tt_tt_1,142,7.6
Superman II ,1980,Richard Lester,Action|Adventure|Romance|Sci-Fi,116,54000000,108200000,English,USA,PG,Color,http://www.imdb.com/title/tt0081573/?ref_=fn_tt_tt_1,269,6.8
Heaven's Gate ,1980,Michael Cimino,Adventure|Drama|Western,325,44000000,1500000,English,USA,R,Color,http://www.imdb.com/title/tt0080855/?ref_=fn_tt_tt_1,189,6.8
Raise the Titanic ,1980,Jerry Jameson,Action|Adventure|Drama|Thriller,119,36000000,7000000,English,UK,PG,Color,http://www.imdb.com/title/tt0081400/?ref_=fn_tt_tt_1,70,4.7
The Blues Brothers ,1980,John Landis,Action|Comedy|Crime|Music,148,27000000,54200000,English,USA,R,Color,http://www.imdb.com/title/tt0080455/?ref_=fn_tt_tt_1,319,7.9
Star Wars: Episode V - The Empire Strikes Back ,1980,Irvin Kershner,Action|Adventure|Fantasy|Sci-Fi,127,18000000,290158751,English,USA,PG,Color,http://www.imdb.com/title/tt0080684/?ref_=fn_tt_tt_1,900,8.8
Can't Stop the Music ,1980,Nancy Walker,Biography|Comedy|Musical,124,20000000,2000000,English,USA,PG,Color,http://www.imdb.com/title/tt0080492/?ref_=fn_tt_tt_1,74,4.5
The Fog ,1980,John Carpenter,Fantasy|Horror,89,1000000,21378000,English,USA,R,Color,http://www.imdb.com/title/tt0080749/?ref_=fn_tt_tt_1,335,6.8
Raging Bull ,1980,Martin Scorsese,Biography|Drama|Sport,121,18000000,45250,English,USA,R, Black and White,http://www.imdb.com/title/tt0081398/?ref_=fn_tt_tt_1,494,8.3
Private Benjamin ,1980,Howard Zieff,Comedy|War,109,10000000,69800000,English,USA,R,Color,http://www.imdb.com/title/tt0081375/?ref_=fn_tt_tt_1,60,6.1
Dressed to Kill ,1980,Brian De Palma,Mystery|Romance|Thriller,104,6500000,31899000,English,USA,X,Color,http://www.imdb.com/title/tt0080661/?ref_=fn_tt_tt_1,201,7.1
Ordinary People ,1980,Robert Redford,Drama,124,6000000,54800000,English,USA,R,Color,http://www.imdb.com/title/tt0081283/?ref_=fn_tt_tt_1,283,7.8
Caddyshack ,1980,Harold Ramis,Comedy|Sport,98,6000000,39800000,English,USA,R,Color,http://www.imdb.com/title/tt0080487/?ref_=fn_tt_tt_1,250,7.4
Airplane! ,1980,Jim Abrahams,Comedy,88,3500000,83400000,English,USA,PG,Color,http://www.imdb.com/title/tt0080339/?ref_=fn_tt_tt_1,427,7.8
For Your Eyes Only ,1981,John Glen,Action|Adventure|Thriller,127,28000000,62300000,English,UK,PG,Color,http://www.imdb.com/title/tt0082398/?ref_=fn_tt_tt_1,263,6.8
Raiders of the Lost Ark ,1981,Steven Spielberg,Action|Adventure,115,18000000,242374454,English,USA,PG,Color,http://www.imdb.com/title/tt0082971/?ref_=fn_tt_tt_1,771,8.5
Under the Rainbow ,1981,Steve Rash,Comedy,98,20000000,8500000,English,USA,PG,Color,http://www.imdb.com/title/tt0083254/?ref_=fn_tt_tt_1,34,5.4
The Legend of the Lone Ranger ,1981,William A. Fraker,Action|Adventure|Western,98,18000000,8000000,English,USA,PG,Color,http://www.imdb.com/title/tt0082648/?ref_=fn_tt_tt_1,41,5
Dragonslayer ,1981,Matthew Robbins,Action|Adventure|Fantasy,108,18000000,6000000,English,USA,PG,Color,http://www.imdb.com/title/tt0082288/?ref_=fn_tt_tt_1,102,6.7
Roar ,1981,Noel Marshall,Adventure|Horror|Thriller,102,17000000,2000000,English,USA,PG,Color,http://www.imdb.com/title/tt0083001/?ref_=fn_tt_tt_1,27,6.4
Time Bandits ,1981,Terry Gilliam,Adventure|Comedy|Fantasy|Sci-Fi,103,5000000,42365600,English,UK,PG,Color,http://www.imdb.com/title/tt0081633/?ref_=fn_tt_tt_1,177,7
Das Boot ,1981,Wolfgang Petersen,Adventure|Drama|Thriller|War,293,14000000,11433134,German,West Germany,R,Color,http://www.imdb.com/title/tt0082096/?ref_=fn_tt_tt_1,426,8.4
Stripes ,1981,Ivan Reitman,Action|Comedy|War,117,10000000,85300000,English,USA,R,Color,http://www.imdb.com/title/tt0083131/?ref_=fn_tt_tt_1,134,6.9
Sphinx ,1981,Franklin J. Schaffner,Adventure|Mystery|Thriller,118,14000000,800000,English,USA,PG,Color,http://www.imdb.com/title/tt0083113/?ref_=fn_tt_tt_1,21,5.2
Escape from New York ,1981,John Carpenter,Action|Sci-Fi,106,6000000,25244700,English,UK,R,Color,http://www.imdb.com/title/tt0082340/?ref_=fn_tt_tt_1,284,7.2
Chariots of Fire ,1981,Hugh Hudson,Biography|Drama|Sport,125,5500000,58800000,English,UK,PG,Color,http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1,213,7.2
Porky's ,1981,Bob Clark,Comedy,94,4000000,105500000,English,Canada,R,Color,http://www.imdb.com/title/tt0084522/?ref_=fn_tt_tt_1,152,6.2
Mad Max 2: The Road Warrior ,1981,George Miller,Action|Adventure|Sci-Fi|Thriller,87,2000000,9003011,English,Australia,R, Black and White,http://www.imdb.com/title/tt0082694/?ref_=fn_tt_tt_1,294,7.6
Friday the 13th Part 2 ,1981,Steve Miner,Horror|Mystery|Thriller,87,1250000,19100000,English,USA,R,Color,http://www.imdb.com/title/tt0082418/?ref_=fn_tt_tt_1,394,6.1
The Howling ,1981,Joe Dante,Horror,91,1000000,17986000,English,USA,R,Color,http://www.imdb.com/title/tt0082533/?ref_=fn_tt_tt_1,195,6.6
The Beyond ,1981,Lucio Fulci,Horror,82,400000,126387,Italian,Italy,X, Black and White,http://www.imdb.com/title/tt0082307/?ref_=fn_tt_tt_1,253,6.9
Conan the Barbarian ,1982,John Milius,Adventure|Fantasy,129,20000000,37567440,English,USA,R,Color,http://www.imdb.com/title/tt0082198/?ref_=fn_tt_tt_1,337,6.9
The Thing ,1982,John Carpenter,Horror|Mystery|Sci-Fi,109,15000000,13782838,English,USA,R,Color,http://www.imdb.com/title/tt0084787/?ref_=fn_tt_tt_1,911,8.2
Poltergeist ,1982,Tobe Hooper,Fantasy|Horror,120,10700000,76600000,English,USA,PG,Color,http://www.imdb.com/title/tt0084516/?ref_=fn_tt_tt_1,321,7.4
Blade Runner ,1982,Ridley Scott,Sci-Fi|Thriller,117,28000000,27000000,English,USA,R,Color,http://www.imdb.com/title/tt0083658/?ref_=fn_tt_tt_1,1168,8.2
Firefox ,1982,Clint Eastwood,Action|Adventure|Thriller,136,21000000,46700000,English,USA,PG,Color,http://www.imdb.com/title/tt0083943/?ref_=fn_tt_tt_1,98,5.9
The Best Little Whorehouse in Texas ,1982,Colin Higgins,Comedy|Musical,114,35000000,69700000,English,USA,R,Color,http://www.imdb.com/title/tt0083642/?ref_=fn_tt_tt_1,48,5.8
Megaforce ,1982,Hal Needham,Action|Sci-Fi,99,20000000,5333658,English,USA,PG,Color,http://www.imdb.com/title/tt0084316/?ref_=fn_tt_tt_1,54,3.5
The Verdict ,1982,Sidney Lumet,Drama,129,16000000,54000000,English,USA,R,Color,http://www.imdb.com/title/tt0084855/?ref_=fn_tt_tt_1,154,7.8
Tootsie ,1982,Sydney Pollack,Comedy|Drama|Romance,116,22000000,177200000,English,USA,PG,Color,http://www.imdb.com/title/tt0084805/?ref_=fn_tt_tt_1,194,7.4
Star Trek II: The Wrath of Khan ,1982,Nicholas Meyer,Action|Adventure|Sci-Fi,116,11000000,78900000,English,USA,PG,Color,http://www.imdb.com/title/tt0084726/?ref_=fn_tt_tt_1,359,7.7
E.T. the Extra-Terrestrial ,1982,Steven Spielberg,Family|Sci-Fi,120,10500000,434949459,English,USA,PG,Color,http://www.imdb.com/title/tt0083866/?ref_=fn_tt_tt_1,515,7.9
Diner ,1982,Barry Levinson,Comedy|Drama,110,5000000,14100000,English,USA,R,Color,http://www.imdb.com/title/tt0083833/?ref_=fn_tt_tt_1,87,7.2
Halloween III: Season of the Witch ,1982,Tommy Lee Wallace,Horror|Mystery|Sci-Fi,98,2500000,14400000,English,USA,R,Color,http://www.imdb.com/title/tt0085636/?ref_=fn_tt_tt_1,532,4.6
Friday the 13th Part III ,1982,Steve Miner,Horror|Thriller,91,4000000,36200000,English,USA,R,Color,http://www.imdb.com/title/tt0083972/?ref_=fn_tt_tt_1,372,5.7
Superman III ,1983,Richard Lester,Action|Comedy|Sci-Fi,125,39000000,60000000,English,UK,PG,Color,http://www.imdb.com/title/tt0086393/?ref_=fn_tt_tt_1,224,4.9
Never Say Never Again ,1983,Irvin Kershner,Action|Adventure|Thriller,121,36000000,55500000,English,UK,PG,Color,http://www.imdb.com/title/tt0086006/?ref_=fn_tt_tt_1,214,6.2
Star Wars: Episode VI - Return of the Jedi ,1983,Richard Marquand,Action|Adventure|Fantasy|Sci-Fi,134,32500000,309125409,English,USA,PG,Color,http://www.imdb.com/title/tt0086190/?ref_=fn_tt_tt_1,647,8.4
Octopussy ,1983,John Glen,Action|Adventure|Thriller,131,27500000,67900000,English,UK,PG,Color,http://www.imdb.com/title/tt0086034/?ref_=fn_tt_tt_1,225,6.6
The Right Stuff ,1983,Philip Kaufman,Adventure|Drama|History,193,27000000,21500000,English,USA,PG,Color,http://www.imdb.com/title/tt0086197/?ref_=fn_tt_tt_1,170,7.9
Scarface ,1983,Brian De Palma,Crime|Drama,142,25000000,44700000,English,USA,R,Color,http://www.imdb.com/title/tt0086250/?ref_=fn_tt_tt_1,851,8.3
National Lampoon's Vacation ,1983,Harold Ramis,Adventure|Comedy,98,15000000,61400000,English,USA,R,Color,http://www.imdb.com/title/tt0085995/?ref_=fn_tt_tt_1,183,7.4
WarGames ,1983,John Badham,Sci-Fi|Thriller,114,12000000,79568000,English,USA,PG,Color,http://www.imdb.com/title/tt0086567/?ref_=fn_tt_tt_1,152,7.1
Yentl ,1983,Barbra Streisand,Drama|Musical|Romance,132,12000000,30400000,English,UK,PG,Color,http://www.imdb.com/title/tt0086619/?ref_=fn_tt_tt_1,68,6.6
